Metadata for 2D SHeM diffraction pattern
==========
Centre of rotation: -3327400  -635900
m1: 0.989760
m2: -0.007357
Example position (nm): -3470000   316000 -1000000
==========
List of z scans:
File name,alpha(deg)
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002506.mat,30.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002507.mat,32.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002508.mat,35.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002509.mat,37.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002510.mat,40.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002511.mat,42.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002512.mat,45.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002513.mat,47.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002514.mat,50.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002515.mat,52.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002516.mat,55.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002517.mat,57.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002518.mat,60.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002519.mat,62.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002520.mat,65.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002521.mat,67.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002522.mat,70.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002523.mat,72.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002524.mat,75.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002525.mat,77.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002526.mat,80.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002527.mat,82.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002528.mat,85.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002529.mat,87.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002530.mat,90.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002531.mat,92.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002532.mat,95.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002533.mat,97.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002534.mat,100.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002535.mat,102.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002536.mat,105.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002537.mat,107.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002538.mat,110.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002539.mat,112.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002540.mat,115.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002541.mat,117.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002542.mat,120.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002543.mat,122.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002544.mat,125.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002545.mat,127.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002546.mat,130.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002547.mat,132.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002548.mat,135.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002549.mat,137.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002550.mat,140.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002551.mat,142.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002552.mat,145.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002553.mat,147.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002554.mat,150.000000
