Metadata for 2D SHeM diffraction pattern
==========
Centre of rotation: -3304500  -627800
m1: 0.989760
m2: -0.007357
Example position (nm): -3470000   316000 -1000000
==========
List of z scans:
File name,alpha(deg)
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002457.mat,30.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002458.mat,32.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002459.mat,35.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002460.mat,37.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002461.mat,40.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002462.mat,42.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002463.mat,45.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002464.mat,47.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002465.mat,50.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002466.mat,52.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002467.mat,55.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002468.mat,57.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002469.mat,60.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002470.mat,62.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002471.mat,65.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002472.mat,67.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002473.mat,70.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002474.mat,72.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002475.mat,75.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002476.mat,77.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002477.mat,80.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002478.mat,82.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002479.mat,85.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002480.mat,87.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002481.mat,90.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002482.mat,92.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002483.mat,95.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002484.mat,97.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002485.mat,100.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002486.mat,102.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002487.mat,105.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002488.mat,107.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002489.mat,110.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002490.mat,112.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002491.mat,115.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002492.mat,117.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002493.mat,120.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002494.mat,122.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002495.mat,125.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002496.mat,127.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002497.mat,130.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002498.mat,132.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002499.mat,135.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002500.mat,137.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002501.mat,140.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002502.mat,142.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002503.mat,145.000000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002504.mat,147.500000
/icon/data/2023_08_MoS2_5um_hbn_sub/Z002505.mat,150.000000
